layers,neurons,activation,loss
1,16,relu,0.0055567240342497826
1,16,sigmoid,0.038621604442596436
1,16,tanh,0.03285558894276619
1,32,relu,0.026451781392097473
1,32,sigmoid,0.03871666640043259
1,32,tanh,0.035668954253196716
1,64,relu,0.026056181639432907
1,64,sigmoid,0.03889330476522446
1,64,tanh,0.03778556361794472
1,128,relu,0.026028906926512718
1,128,sigmoid,0.03881285339593887
1,128,tanh,0.03906210511922836
2,16,relu,0.027205143123865128
2,16,sigmoid,0.0267222560942173
2,16,tanh,0.0032188992481678724
2,32,relu,0.0029858534689992666
2,32,sigmoid,0.005462127737700939
2,32,tanh,0.0034082133788615465
2,64,relu,0.003302165539935231
2,64,sigmoid,0.03903922438621521
2,64,tanh,0.0032055967021733522
2,128,relu,0.003250250592827797
2,128,sigmoid,0.03846243396401405
2,128,tanh,0.00342518906109035
3,16,relu,0.0034383987076580524
3,16,sigmoid,0.0036370817106217146
3,16,tanh,0.00317952292971313
3,32,relu,0.0034171626903116703
3,32,sigmoid,0.003527435939759016
3,32,tanh,0.0032105320133268833
3,64,relu,0.003948584198951721
3,64,sigmoid,0.003679447341710329
3,64,tanh,0.0031126844696700573
3,128,relu,0.003626831341534853
3,128,sigmoid,0.0036360421217978
3,128,tanh,0.0031380660366266966
4,16,relu,0.003471143078058958
4,16,sigmoid,0.0035414528101682663
4,16,tanh,0.0032457553315907717
4,32,relu,0.004005857743322849
4,32,sigmoid,0.003165266942232847
4,32,tanh,0.0030900645069777966
4,64,relu,0.004605053924024105
4,64,sigmoid,0.0033926733303815126
4,64,tanh,0.0034501415211707354
4,128,relu,0.004819927737116814
4,128,sigmoid,0.003206088673323393
4,128,tanh,0.003434630809351802
